title,artist,description
"Starboy","The Weeknd ft. Daft Punk","A dark, futuristic R&B-electro track about fame and success."
"Dynamite","Taio Cruz","An energetic dance-pop hit about celebrating life and having fun."
"Teenage Dream","Katy Perry","A dreamy, romantic pop anthem about youthful love and passion."
"The Middle","Zedd, Maren Morris & Grey","A vibrant electronic-pop song about relationship struggles."
"Fight Song","Rachel Platten","An uplifting pop anthem about perseverance and self-empowerment."algia."
"Firework","Katy Perry","An uplifting pop anthem about self-empowerment and confidence."
"Just the Way You Are","Bruno Mars","A romantic ballad celebrating natural beauty and love."
"Super Bass","Nicki Minaj","A high-energy pop-rap hit with catchy hooks and playful lyrics."
"Party Rock Anthem","LMFAO","An electro-pop party anthem with an infectious beat."
"Tik Tok","Kesha","A fun, rebellious dance-pop hit about living in the moment."
"Glad You Came","The Wanted","An upbeat pop song with danceable beats and romantic lyrics."
"We Are Young","fun. ft. Janelle Monáe","A nostalgic indie-pop anthem about youth and reckless love."
"Pompeii","Bastille","A synth-heavy alternative pop song with historical references."
"Radioactive","Imagine Dragons","A dark, cinematic rock-influenced pop song."
"Can't Feel My Face","The Weeknd","A funky, Michael Jackson-inspired hit about infatuation."
"Counting Stars","OneRepublic","A pop-rock anthem about chasing dreams and personal struggles."
"Locked Out of Heaven","Bruno Mars","A reggae-rock fusion hit with passionate lyrics."
"Payphone","Maroon 5 ft. Wiz Khalifa","A melancholic pop song about lost love and regret."
"Rude","MAGIC!","A reggae-pop hit about defying parental approval in love."
"Shallow","Lady Gaga & Bradley Cooper","A powerful, emotional ballad from the movie *A Star Is Born*."
"Meant to Be","Bebe Rexha ft. Florida Georgia Line","A country-pop crossover about fate in relationships."
"Wrecking Ball","Miley Cyrus","A dramatic pop ballad about heartbreak and vulnerability."
"Cool for the Summer","Demi Lovato","A bold, electric pop song about summer romance."
"Break Free","Ariana Grande ft. Zedd","An uplifting EDM-pop song about personal liberation."
"Side to Side","Ariana Grande ft. Nicki Minaj","A steamy reggae-inspired pop hit about passion."
"The Lazy Song","Bruno Mars","A playful, laid-back song about enjoying a lazy day."
"Work from Home","Fifth Harmony ft. Ty Dolla $ign","A sultry pop-R&B hit about attraction and desire."
"Shake It Off","Taylor Swift","A fun, empowering anthem about ignoring haters and enjoying life."
"Black Widow","Iggy Azalea ft. Rita Ora","A fierce pop-rap track about revenge and heartbreak."
"Want to Want Me","Jason Derulo","A high-energy dance-pop song about longing for love."
"Sorry Not Sorry","Demi Lovato","A bold, confident anthem about moving on after a breakup."
"Give Me Everything","Pitbull ft. Ne-Yo, Afrojack & Nayer","A club-ready hit about living life to the fullest."
"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj","A powerhouse pop song with explosive energy."
"Don't Let Me Down","The Chainsmokers ft. Daya","An EDM-infused pop song about emotional desperation."
"Into You","Ariana Grande","A sultry electro-pop hit about irresistible attraction."
"Love Me Like You Do","Ellie Goulding","A dreamy, passionate ballad from *Fifty Shades of Grey*."
"Thinking Out Loud","Ed Sheeran","A timeless love ballad with heartfelt lyrics and soft melodies."
"Take a Bow","Rihanna","A breakup ballad with an emotional and powerful vocal performance."
"Love on the Brain","Rihanna","A soulful, vintage-inspired ballad about intense love."
"Drunk in Love","Beyoncé ft. Jay-Z","A seductive R&B hit with intoxicating energy."
"Talk Dirty","Jason Derulo ft. 2 Chainz","A funky, brassy hit with exotic instrumentals."
"Chains","Nick Jonas","A moody R&B-influenced pop song about love struggles."
"Maps","Maroon 5","A pop-rock song about lost love and longing."
"Hotline Bling","Drake","A minimalist R&B song with a catchy beat and meme-worthy lyrics."
"Stitches","Shawn Mendes","A pop-rock hit about heartbreak and emotional pain."
"I Knew You Were Trouble","Taylor Swift","A country-pop breakup song with dubstep influences."
"Stay With Me","Sam Smith","A gospel-inspired pop ballad about loneliness and longing."
"Believer","Imagine Dragons","A powerful, rock-influenced anthem about overcoming pain."
"Bad Blood","Taylor Swift ft. Kendrick Lamar","A revenge-driven pop hit with an intense beat."
"Shape of You","Ed Sheeran","A dance-pop song about love and attraction, driven by tropical house beats."
"Youngblood","5 Seconds of Summer","An energetic pop-rock song about an intense love story."
"Good for You","Selena Gomez ft. A$AP Rocky","A sultry, moody pop song about desire and admiration."
"2U","David Guetta ft. Justin Bieber","An EDM-pop track about deep emotional connection."
"Like I’m Gonna Lose You","Meghan Trainor ft. John Legend","A heartfelt duet about treasuring love."
